No	Image	Label
1	a01-000u-00-00.png	A
2	a01-000u-00-01.png	MOVE
3	a01-000u-00-02.png	to
4	a01-000u-00-03.png	stop
5	a01-000u-00-04.png	Mr.
6	a01-000u-00-05.png	Gaitskell
7	a01-000u-00-06.png	from
8	a01-000u-01-00.png	nominating
9	a01-000u-01-01.png	any
10	a01-000u-01-02.png	more
11	a01-000u-01-03.png	Labour
12	a01-000u-01-04.png	life
13	a01-000u-01-05.png	Peers
14	a01-000u-02-00.png	is
15	a01-000u-02-01.png	to
16	a01-000u-02-02.png	be
17	a01-000u-02-03.png	made
18	a01-000u-02-04.png	at
19	a01-000u-02-05.png	a
20	a01-000u-02-06.png	meeting
21	a01-000u-02-07.png	of
22	a01-000u-02-08.png	Labour
23	a01-000u-03-00.png	M
24	a01-000u-03-01.png	tomorrow
25	a01-000u-03-02.png	.
26	a01-000u-03-03.png	Mr.
27	a01-000u-03-04.png	Michael
28	a01-000u-03-05.png	Foot
29	a01-000u-03-06.png	has
30	a01-000u-04-00.png	put
31	a01-000u-04-01.png	down
32	a01-000u-04-02.png	a
33	a01-000u-04-03.png	resolution
34	a01-000u-04-04.png	on
35	a01-000u-04-05.png	the
36	a01-000u-04-06.png	subject
37	a01-000u-05-00.png	and
38	a01-000u-05-01.png	he
39	a01-000u-05-02.png	is
40	a01-000u-05-03.png	to
41	a01-000u-05-04.png	be
42	a01-000u-05-05.png	backed
43	a01-000u-05-06.png	by
44	a01-000u-05-07.png	Mr.
45	a01-000u-05-08.png	Will
46	a01-000u-06-00.png	Griffiths
47	a01-000u-06-01.png	,
48	a01-000u-06-02.png	M
49	a01-000u-06-03.png	for
50	a01-000u-06-04.png	Manchester
51	a01-000u-06-05.png	Exchange
52	a01-000u-06-06.png	.
53	a01-000x-00-00.png	A
54	a01-000x-00-01.png	MOVE
55	a01-000x-00-02.png	to
56	a01-000x-00-03.png	stop
57	a01-000x-00-04.png	Mr.
58	a01-000x-00-05.png	Gaitskell
59	a01-000x-00-06.png	from
60	a01-000x-00-07.png	nominating
61	a01-000x-01-00.png	any
62	a01-000x-01-01.png	more
63	a01-000x-01-02.png	Labour
64	a01-000x-01-03.png	life
65	a01-000x-01-04.png	Peers
66	a01-000x-01-05.png	is
67	a01-000x-01-06.png	to
68	a01-000x-01-07.png	be
69	a01-000x-01-08.png	made
70	a01-000x-01-09.png	at
71	a01-000x-01-10.png	a
72	a01-000x-02-00.png	meeting
73	a01-000x-02-01.png	of
74	a01-000x-02-02.png	Labour
75	a01-000x-02-03.png	0M
76	a01-000x-02-04.png	tomorrow
